net,length_um
tree_instances\[19\].u_tree.frame_id_out\[2\],12.62
_0608_,12.6
_1404_,12.6
_1074_,12.58
tree_instances\[18\].u_tree.pipeline_frame_id\[0\]\[1\],12.56
tree_instances\[4\].u_tree.pipeline_current_node\[0\]\[0\],12.56
_0298_,12.54
_0604_,12.54
_1814_,12.54
_1828_,12.54
_0057_,12.52
_0581_,12.5
_1304_,12.48
_2077_,12.48
tree_instances\[8\].u_tree.frame_id_out\[2\],12.46
tree_instances\[12\].u_tree.pipeline_frame_id\[0\]\[4\],12.44
_1634_,12.38
_1734_,12.38
tree_instances\[12\].u_tree.pipeline_frame_id\[0\]\[3\],12.38
_1345_,12.32
_1775_,12.3
tree_instances\[19\].u_tree.pipeline_current_node\[0\]\[8\],12.3
_1128_,12.26
_1091_,12.24
_0892_,12.2
_1873_,12.18
tree_instances\[17\].u_tree.pipeline_current_node\[0\]\[6\],12.18
_1024_,12.16
_0586_,12.12
tree_instances\[17\].u_tree.pipeline_frame_id\[0\]\[4\],12.12
tree_instances\[18\].u_tree.tree_state\[3\],12.12
_1961_,12.1
_1301_,12.08
tree_instances\[18\].u_tree.pipeline_current_node\[0\]\[1\],12.08
_0134_,12.06
tree_instances\[5\].u_tree.pipeline_frame_id\[0\]\[4\],12.06
_0587_,12.04
_0895_,12.04
_1865_,12.04
_1576_,12.02
_1375_,12
tree_instances\[9\].u_tree.pipeline_frame_id\[0\]\[1\],12
tree_instances\[1\].u_tree.tree_state\[0\],11.98
tree_instances\[5\].u_tree.pipeline_frame_id\[0\]\[0\],11.98
_1060_,11.94
_1349_,11.94
_1962_,11.92
_1277_,11.9
_1726_,11.9
tree_instances\[11\].u_tree.tree_state\[3\],11.88
tree_instances\[16\].u_tree.prediction_valid,11.88
tree_instances\[1\].u_tree.pipeline_current_node\[0\]\[7\],11.88
tree_instances\[8\].u_tree.pipeline_frame_id\[0\]\[4\],11.88
tree_instances\[19\].u_tree.pipeline_valid\[0\],11.84
_1075_,11.8
_1518_,11.8
tree_instances\[8\].u_tree.pipeline_frame_id\[0\]\[3\],11.8
_0599_,11.78
_1171_,11.78
tree_instances\[15\].u_tree.pipeline_frame_id\[0\]\[4\],11.78
tree_instances\[1\].u_tree.pipeline_frame_id\[0\]\[4\],11.78
tree_instances\[16\].u_tree.tree_state\[2\],11.76
tree_instances\[17\].u_tree.pipeline_current_node\[0\]\[8\],11.74
_1926_,11.72
tree_instances\[13\].u_tree.pipeline_valid\[0\],11.72
tree_instances\[5\].u_tree.pipeline_frame_id\[0\]\[3\],11.72
_0998_,11.7
complete_votes\[1\],11.66
tree_instances\[8\].u_tree.tree_state\[2\],11.66
tree_instances\[14\].u_tree.frame_id_out\[1\],11.64
_0439_,11.62
